magnitude,cdi,mmi,sig,nst,dmin,gap,depth,latitude,longitude,Year,Month,tsunami,timestamp,Location
6.6,7,7,1064,0,0.913,16,7,36.9293,27.4139,2017,7,0,1.49964E+12,Turkey
7.7,8,7,918,0,3.564,13,10,54.4434,168.857,2017,7,1,1.5011E+12,Russia (Far East)
6.6,5,4,704,0,3.773,37,10,-49.4837,164.016,2017,7,1,1.49887E+12,Offshore/International Waters
6.5,9,8,740,0,4.139,30,9,11.1269,124.629,2017,7,1,1.49913E+12,Philippines
6.8,6,6,1034,0,1.065,38,38.12,13.7174,-90.9718,2017,6,1,1.49868E+12,Guatemala
6.9,8,6,1188,0,0.247,35,93,14.9091,-92.0092,2017,6,1,1.49644E+12,Mexico
6.8,0,4,711,0,2.308,12,5,54.0312,170.92,2017,6,1,1.49648E+12,Russia (Far East)
6.6,7,7,678,0,2.353,18,12,-1.2923,120.431,2017,5,0,1.49457E+12,Indonesia
6.5,0,4,650,0,6.489,17,15,-56.414,-25.7432,2017,5,1,1.49424E+12,Offshore/International Waters
6.8,6,5,713,0,7.495,19,169,-14.5884,167.377,2017,5,1,1.4948E+12,Vanuatu
6.9,9,6,814,0,1.636,14,26,5.5043,125.066,2017,4,1,1.49319E+12,Philippines
6.9,9,7,1642,0,0.356,39,28,-33.0375,-72.0617,2017,4,1,1.49206E+12,Chile
6.5,7,8,1297,0,2.36,15,29,-22.6784,25.1558,2017,4,0,1.4932E+12,Offshore/International Waters
6.6,6,7,671,0,4.591,14,17,56.9401,162.786,2017,3,1,1.49085E+12,Russia (Far East)
6.9,2,3,733,0,6.012,19,414.5,-23.2593,-178.804,2017,2,1,1.48655E+12,Offshore/International Waters
6.5,3,3,653,0,4.242,14,595.98,-19.2814,-63.9047,2017,2,0,1.48605E+12,Bolivia
6.5,8,7,718,0,2.822,36,15,9.9071,125.452,2017,2,1,1.48741E+12,Philippines
7.9,9,7,987,0,3.625,9,135,-6.2464,155.172,2017,1,1,1.48445E+12,Solomon Islands
6.5,6,6,654,0,1.64,21,36,-10.3506,161.335,2017,1,1,1.48552E+12,Solomon Islands
7.3,6,3,849,0,3.813,18,627.17,4.4782,122.617,2017,1,1,1.48429E+12,Philippines
6.9,6,4,742,0,2.495,13,12,-19.3733,176.052,2017,1,1,1.48374E+12,Fiji
7.6,9,8,1152,0,0.355,29,38,-43.4064,-73.9413,2016,12,1,1.48094E+12,Chile
6.7,5,5,726,0,3.38,17,152,-7.5082,127.921,2016,12,0,1.48157E+12,Indonesia
7.9,9,7,972,0,1.389,13,94.54,-4.5049,153.522,2016,12,1,1.48315E+12,Papua New Guinea
6.9,8,6,737,0,1.747,26,19.73,-10.749,161.132,2016,12,1,1.48263E+12,Solomon Islands
6.5,0,5,650,0,1.937,18,12.26,-10.8416,161.314,2016,12,0,1.48126E+12,Solomon Islands
7.8,9,8,961,0,1.836,13,40,-10.6812,161.327,2016,12,1,1.48288E+12,Solomon Islands
6.6,5,4,1120,0,1.405,55,8.45,40.4535,-126.194,2016,12,1,1.48073E+12,Offshore/International Waters
6.5,9,8,731,0,0.778,27,13,5.2834,96.1678,2016,12,0,1.48246E+12,Indonesia
6.6,8,7,693,0,1.697,20,17,39.2732,73.9776,2016,11,0,1.47879E+12,China
6.9,5,4,855,0,1.796,20,10,11.9097,-88.8968,2016,11,1,1.47866E+12,Offshore/International Waters
6.9,9,6,1144,0,0.671,10,9,37.3931,141.387,2016,11,1,1.48018E+12,Japan
6.5,7,7,664,0,0.283,56,9,-42.6058,173.254,2016,11,1,1.47985E+12,New Zealand
6.5,6,7,656,0,0.135,58,10,-42.3205,173.669,2016,11,1,1.47817E+12,New Zealand
7.8,9,9,1545,0,0.481,21,15.11,-42.7373,173.054,2016,11,1,1.47845E+12,New Zealand
6.6,9,8,2840,0,0.174,25,8,42.8621,13.0961,2016,10,0,1.47615E+12,Italy
6.6,3,3,677,0,2.022,16,614,-4.8626,108.163,2016,10,0,1.47618E+12,Indonesia
6.8,3,6,716,0,3.727,11,42,-6.0033,148.887,2016,10,1,1.4765E+12,Papua New Guinea
6.9,2,3,733,0,4.051,9,596.4,-19.7819,-178.244,2016,9,1,1.4748E+12,Offshore/International Waters
7,5,6,897,0,0.698,21,19,-37.3586,179.146,2016,9,1,1.47477E+12,Offshore/International Waters
6.8,4,3,713,0,0.803,12,476,-3.6849,152.792,2016,8,1,1.47029E+12,Papua New Guinea
6.8,6,6,981,0,1.802,17,82,20.9228,94.569,2016,8,0,1.47073E+12,China
7.2,6,5,799,0,4.823,14,16.37,-22.4765,173.117,2016,8,1,1.4709E+12,Offshore/International Waters
7.7,5,6,971,0,3.294,14,196,18.5429,145.507,2016,7,1,1.46954E+12,Offshore/International Waters
6.6,4,6,671,0,2.435,16,50,-2.0967,100.665,2016,6,0,1.46554E+12,Indonesia
7.2,1,6,798,0,5.803,24,78,-56.2409,-26.9353,2016,5,1,1.46215E+12,Offshore/International Waters
6.9,3,3,733,0,5.485,19,405.69,-21.9724,-178.204,2016,5,1,1.46473E+12,Offshore/International Waters
6.9,8,7,780,0,1.192,17,29.95,0.4947,-79.616,2016,5,1,1.46298E+12,Ecuador
6.7,5,7,744,0,1.352,21,16,0.4261,-79.7899,2016,5,1,1.46393E+12,Ecuador
7,7,7,755,0,0.616,14,24,-16.0429,167.379,2016,4,1,1.46026E+12,Vanuatu
7.8,9,9,1163,0,1.44,15,20.59,0.3819,-79.9218,2016,4,1,1.46024E+12,Ecuador
7,9,9,2074,0,0.349,32,10,32.7906,130.754,2016,4,1,1.46176E+12,Japan
6.9,6,6,903,0,3.001,14,136,23.0944,94.8654,2016,4,0,1.46085E+12,China
